english,link,domain,chinese,link_cn
China Coal Technology & Engineering Group,http://en.ccteg.cn/,ccteg,中国煤炭科工集团有限公司,http://www.ccteg.cn/
China Academy of Machinery Science and Technology Group Co Ltd,http://www.cam.com.cn/en/index_en.aspx,cam,机械科学研究总院集团有限公司,http://www.cam.com.cn/
Sinosteel Corporation,http://en.sinosteel.com/,sinosteel,中国中钢集团有限公司,http://www.sinosteel.com/
China Iron & Steel Research Institute Group,http://www.cisri.com.cn/english/tabid/520/language/zh-CN/Default.aspx,cisri,中国钢研科技集团有限公司,http://www.cisri.com.cn/
China National Chemical Corporation,http://www.chemchina.com.cn/en/index.htm,chemchina,中国化工集团有限公司,http://www.chemchina.com.cn/
China National Chemical Engineering Group Corporation,http://www.cncec.cn/html/Home/index.html,cncec,中国化学工程集团有限公司,http://www.cncec.cn/
China National Salt Industry Corporation,http://www.chinasalt.com.cn/english/,chinasalt,中国盐业集团有限公司,http://www.chinasalt.com.cn/
China National Building Materials Group Co Ltd,http://www.cnbm.com.cn/EN/,cnbm,中国建材集团有限公司,http://www.cnbm.com.cn
China Nonferrous Metal Mining (Group) Co Ltd,http://www.cnmc.com.cn/indexen.jsp,cnmc,中国有色矿业集团有限公司,http://www.cnmc.com.cn/
General Research Institute for Nonferrous Metals Group Co Ltd,http://www.grinm.com/Default.aspx?alias=www.grinm.com/english,grinm,有研科技集团有限公司,http://www.grinm.com/
BGRIMM Technology Group,http://english.bgrimm.com,bgrimm,矿冶科技集团有限公司,http://www.bgrimm.com/
China International Intellectech Co,http://www.ciic.com.cn/,ciic,中国国际技术智力合作集团有限公司,http://www.ciic.com.cn/
China Academy of Building Research,http://www.cabr.com.cn/engweb/index.htm,cabr,中国建筑科学研究院有限公司,http://www.cabr.com.cn/
CRRC Corporation Limited,http://www.crrcgc.cc/en,crrcgc,中国中车集团有限公司,http://www.crrcgc.cc/
China Railway Signal & Communication (Group) Corporation Limited,http://www.crsc.cn/g3151.aspx,crsc,中国铁路通信信号集团有限公司,http://www.crsc.cn/
China Railway Group Limited,http://www.crecg.com/english/index.html,crecg,中国铁路工程集团有限公司,http://www.crecg.com/
China Railway Construction Corporation Limited,http://english.crcc.cn/,crcc,中国铁道建筑集团有限公司,http://www.crcc.cn/
China Communications Construction Company Limited,http://en.ccccltd.cn/,ccccltd,中国交通建设集团有限公司,http://www.ccccltd.cn/
Potevio Company Limited,http://www.potevio.com/en/tabid/279/language/zh-CN/Default.aspx,potevio,中国普天信息产业集团有限公司,http://www.potevio.com/
China Information and Communication Technologies Group Corporation (CICT),2018/07/19/c_187.htm,cict,中国信息通信科技集团有限公司,http://www.cict.com/
China National Agricultural Development Group Co Ltd,http://www.cnadc.com.cn/index.php?m=content&c=index&a=lists&catid=85,cnadc,中国农业发展集团有限公司,http://www.cnadc.com.cn/
China Silk Corporation,http://www.chinasilk.com/,chinasilk,,
China Forestry Group Corporation,http://en.cfgc.cn/,cfgc,中国林业集团有限公司,http://www.cfgc.cn/
Sinopharm Group,http://www.sinopharm.com/1156.html,sinopharm,中国医药集团有限公司,http://www.sinopharm.com/
China Poly Group Corporation,http://www.poly.com.cn/,poly,中国保利集团有限公司,http://www.poly.com.cn/
China Construction Technology Consulting Co Ltd,http://en.cadreg.com/index.asp,cadreg,中国建设科技有限公司,http://www.cadreg.com.cn/
China Metallurgical Geology Bureau,http://www.cmgb.com.cn/ens/,cmgb,中国冶金地质总局,http://www.cmgb.com.cn/
